STRUCTURE_NAME,Sex_M/F,Health_Status,Health status,Year,Value
Health status,M,G,Good/very good health,2014,60.4
Health status,M,G,Good/very good health,2023,80.7
Health status,M,G,Good/very good health,2022,78.5
Health status,M,G,Good/very good health,2021,80.5
Health status,M,G,Good/very good health,2020,80.3
Health status,M,G,Good/very good health,2019,78.1
Health status,M,G,Good/very good health,2018,80
Health status,M,G,Good/very good health,2017,79.8
Health status,M,G,Good/very good health,2016,77
Health status,M,G,Good/very good health,2015,79.9
Health status,M,G,Good/very good health,2014,82
Health status,F,F,"Fair (not good, not bad) health",2023,26.1
Health status,F,F,"Fair (not good, not bad) health",2022,25.9
Health status,F,G,Good/very good health,2020,50.9
Health status,F,G,Good/very good health,2019,50.1
Health status,F,G,Good/very good health,2018,51.3
Health status,F,G,Good/very good health,2017,49.9
Health status,F,G,Good/very good health,2016,49
Health status,F,G,Good/very good health,2015,48.6
Health status,F,G,Good/very good health,2014,49.8
Health status,F,G,Good/very good health,2023,63.1
Health status,F,G,Good/very good health,2022,63.8
Health status,F,G,Good/very good health,2021,67.3
Health status,F,G,Good/very good health,2020,68.8
Health status,F,G,Good/very good health,2019,67.9
Health status,F,G,Good/very good health,2018,67.8
Health status,F,G,Good/very good health,2017,68.6
Health status,F,G,Good/very good health,2016,67.8
Health status,F,G,Good/very good health,2015,69.3
Health status,F,G,Good/very good health,2014,69.2
Health status,F,B,Bad/very bad health,2023,11.4
Health status,F,B,Bad/very bad health,2022,10.9
Health status,F,B,Bad/very bad health,2021,9.5
Health status,F,B,Bad/very bad health,2020,9.3
Health status,F,B,Bad/very bad health,2019,9.3
Health status,F,B,Bad/very bad health,2018,8.8
Health status,F,B,Bad/very bad health,2017,8.9
Health status,F,B,Bad/very bad health,2016,9
Health status,F,B,Bad/very bad health,2015,8.4
Health status,F,B,Bad/very bad health,2014,9.2
Health status,M,F,"Fair (not good, not bad) health",2023,22.6
Health status,M,F,"Fair (not good, not bad) health",2022,23.7
Health status,M,F,"Fair (not good, not bad) health",2021,21.9
Health status,M,F,"Fair (not good, not bad) health",2020,21.2
Health status,M,F,"Fair (not good, not bad) health",2019,23.1
Health status,M,F,"Fair (not good, not bad) health",2018,22.4
Health status,M,F,"Fair (not good, not bad) health",2017,23.1
Health status,M,F,"Fair (not good, not bad) health",2016,24.5
Health status,M,F,"Fair (not good, not bad) health",2015,22.7
Health status,M,F,"Fair (not good, not bad) health",2014,21.5
Health status,F,G,Good/very good health,2023,62.5
Health status,F,G,Good/very good health,2022,63.2
Health status,F,G,Good/very good health,2021,65.9
Health status,F,G,Good/very good health,2020,66.8
Health status,F,G,Good/very good health,2019,64.9
Health status,F,G,Good/very good health,2018,65.5
Health status,F,G,Good/very good health,2017,65.7
Health status,F,G,Good/very good health,2016,64.5
Health status,F,G,Good/very good health,2015,65.6
Health status,F,G,Good/very good health,2014,65.6
Health status,M,G,Good/very good health,2023,66
Health status,M,G,Good/very good health,2022,66.6
Health status,M,G,Good/very good health,2021,69.2
Health status,M,G,Good/very good health,2020,70.2
Health status,M,G,Good/very good health,2019,68.6
Health status,M,G,Good/very good health,2018,70.5
Health status,M,G,Good/very good health,2017,69.1
Health status,M,G,Good/very good health,2016,68.2
Health status,M,G,Good/very good health,2015,69.4
Health status,M,G,Good/very good health,2014,71.1
Health status,M,G,Good/very good health,2023,67.4
Health status,M,G,Good/very good health,2022,67.3
Health status,M,G,Good/very good health,2021,69.9
Health status,F,G,Good/very good health,2023,76.8
Health status,F,G,Good/very good health,2022,78.9
Health status,F,G,Good/very good health,2021,79.9
Health status,F,G,Good/very good health,2020,80.7
Health status,F,G,Good/very good health,2019,75.6
Health status,F,G,Good/very good health,2018,77.3
Health status,F,G,Good/very good health,2017,78.1
Health status,F,G,Good/very good health,2016,76.8
Health status,F,G,Good/very good health,2015,78.3
Health status,F,G,Good/very good health,2014,79
Health status,M,G,Good/very good health,2022,62
Health status,M,G,Good/very good health,2021,60.4
Health status,F,F,"Fair (not good, not bad) health",2018,26.9
Health status,F,F,"Fair (not good, not bad) health",2017,27.5
Health status,F,F,"Fair (not good, not bad) health",2016,27.9
Health status,F,F,"Fair (not good, not bad) health",2015,28.7
Health status,F,F,"Fair (not good, not bad) health",2014,28.3
Health status,F,G,Good/very good health,2021,61
Health status,F,G,Good/very good health,2020,62.4
Health status,F,G,Good/very good health,2019,64.6
Health status,F,G,Good/very good health,2018,64.3
Health status,F,G,Good/very good health,2017,63.8
Health status,F,G,Good/very good health,2016,63.5
Health status,F,G,Good/very good health,2015,63.1
Health status,F,G,Good/very good health,2014,63.5
Health status,F,F,"Fair (not good, not bad) health",2023,25.2
Health status,F,F,"Fair (not good, not bad) health",2022,25.5
Health status,F,F,"Fair (not good, not bad) health",2021,26
Health status,F,F,"Fair (not good, not bad) health",2020,25
Health status,F,F,"Fair (not good, not bad) health",2019,26.6
Health status,F,B,Bad/very bad health,2020,12.6
Health status,F,B,Bad/very bad health,2019,8.8
Health status,F,B,Bad/very bad health,2018,8.8
Health status,F,B,Bad/very bad health,2017,8.7
Health status,F,B,Bad/very bad health,2016,8.6
Health status,F,B,Bad/very bad health,2015,8.2
Health status,F,B,Bad/very bad health,2014,8.2
Health status,M,G,Good/very good health,2023,74.4
Health status,M,G,Good/very good health,2022,74.5
Health status,M,G,Good/very good health,2021,72.7
Health status,M,G,Good/very good health,2020,74.2
Health status,M,G,Good/very good health,2019,72.2
Health status,M,G,Good/very good health,2018,74.5
Health status,M,G,Good/very good health,2017,74.2
Health status,M,G,Good/very good health,2016,73.5
Health status,M,G,Good/very good health,2015,73.2
Health status,M,G,Good/very good health,2014,72.2
Health status,F,G,Good/very good health,2023,62.1
Health status,F,G,Good/very good health,2022,61.6
Health status,F,G,Good/very good health,2021,60.2
Health status,F,G,Good/very good health,2020,61.6
Health status,F,G,Good/very good health,2019,64
Health status,F,G,Good/very good health,2018,64.3
Health status,F,G,Good/very good health,2017,64
Health status,F,G,Good/very good health,2016,64.4
Health status,F,G,Good/very good health,2015,64.2
Health status,F,G,Good/very good health,2014,65.3
Health status,F,G,Good/very good health,2023,63.5
Health status,F,G,Good/very good health,2022,62.5
Health status,M,G,Good/very good health,2020,60
Health status,M,G,Good/very good health,2019,67.7
Health status,M,G,Good/very good health,2018,63.5
Health status,M,G,Good/very good health,2017,64.4
Health status,M,G,Good/very good health,2016,66.3
Health status,M,G,Good/very good health,2015,63.6
Health status,M,G,Good/very good health,2014,66.3
Health status,M,G,Good/very good health,2023,67.6
Health status,M,G,Good/very good health,2022,65.8
Health status,M,G,Good/very good health,2021,65
Health status,M,G,Good/very good health,2020,65.3
Health status,M,G,Good/very good health,2019,66.4
Health status,M,G,Good/very good health,2018,66.7
Health status,M,G,Good/very good health,2017,67.1
Health status,M,G,Good/very good health,2016,66.8
Health status,M,G,Good/very good health,2015,66
Health status,M,G,Good/very good health,2014,66.9
Health status,M,G,Good/very good health,2023,64.1
Health status,M,G,Good/very good health,2022,61.3
Health status,M,G,Good/very good health,2021,61.8
Health status,M,G,Good/very good health,2020,61.4
Health status,M,G,Good/very good health,2019,62.7
Health status,M,G,Good/very good health,2018,63.1
Health status,M,G,Good/very good health,2017,64.2
Health status,M,G,Good/very good health,2016,63.5
Health status,M,G,Good/very good health,2015,63
Health status,M,G,Good/very good health,2014,64.4
Health status,M,F,"Fair (not good, not bad) health",2023,22.7
Health status,M,F,"Fair (not good, not bad) health",2022,23
Health status,M,F,"Fair (not good, not bad) health",2021,23.2
Health status,M,F,"Fair (not good, not bad) health",2020,22.7
Health status,M,F,"Fair (not good, not bad) health",2019,25.3
Health status,M,F,"Fair (not good, not bad) health",2018,25.3
Health status,M,F,"Fair (not good, not bad) health",2017,24.7
Health status,M,F,"Fair (not good, not bad) health",2016,25.2
Health status,M,F,"Fair (not good, not bad) health",2015,25.5
Health status,M,F,"Fair (not good, not bad) health",2014,25.3
Health status,F,G,Good/very good health,2023,54.1
Health status,F,G,Good/very good health,2022,48.8
Health status,F,G,Good/very good health,2021,46
Health status,F,G,Good/very good health,2020,46.8
Health status,F,G,Good/very good health,2019,52.4
Health status,F,G,Good/very good health,2018,52.4
Health status,F,G,Good/very good health,2017,52.6
Health status,F,G,Good/very good health,2016,51.3
Health status,F,G,Good/very good health,2015,51.4
Health status,F,G,Good/very good health,2014,51
Health status,M,B,Bad/very bad health,2023,9.7
Health status,M,B,Bad/very bad health,2022,11.2
Health status,M,B,Bad/very bad health,2021,11.8
Health status,M,B,Bad/very bad health,2020,11.9
Health status,M,B,Bad/very bad health,2019,8.3
Health status,M,B,Bad/very bad health,2018,8
Health status,M,B,Bad/very bad health,2017,8.2
Health status,M,B,Bad/very bad health,2016,8
Health status,M,B,Bad/very bad health,2015,8.4
Health status,M,B,Bad/very bad health,2014,7.8
Health status,F,B,Bad/very bad health,2023,11.3
Health status,F,B,Bad/very bad health,2022,12
Health status,F,B,Bad/very bad health,2021,13
Health status,F,G,Good/very good health,2023,76
Health status,F,G,Good/very good health,2022,76
Health status,F,G,Good/very good health,2021,76.3
Health status,F,G,Good/very good health,2020,77.2
Health status,F,G,Good/very good health,2019,77.9
Health status,F,G,Good/very good health,2018,76.7
Health status,F,G,Good/very good health,2017,75.8
Health status,F,G,Good/very good health,2016,76.3
Health status,F,G,Good/very good health,2015,75.7
Health status,F,G,Good/very good health,2014,75.4
Health status,M,F,"Fair (not good, not bad) health",2022,14.3
Health status,M,F,"Fair (not good, not bad) health",2021,13.8
Health status,F,G,Good/very good health,2018,74.2
Health status,F,G,Good/very good health,2017,71.4
Health status,F,G,Good/very good health,2016,71.4
Health status,F,G,Good/very good health,2015,71.8
Health status,F,G,Good/very good health,2014,71
Health status,M,G,Good/very good health,2021,88.4
Health status,M,G,Good/very good health,2020,87.4
Health status,M,G,Good/very good health,2019,88
Health status,M,G,Good/very good health,2018,85.9
Health status,M,G,Good/very good health,2017,85.7
Health status,M,G,Good/very good health,2016,85.4
Health status,M,G,Good/very good health,2015,85.4
Health status,M,G,Good/very good health,2014,86
Health status,F,G,Good/very good health,2023,76
Health status,F,G,Good/very good health,2022,75.1
Health status,F,G,Good/very good health,2021,76.4
Health status,F,G,Good/very good health,2020,76.9
Health status,F,G,Good/very good health,2019,77.2
Health status,F,B,Bad/very bad health,2020,7.4
Health status,F,B,Bad/very bad health,2019,7.2
Health status,F,B,Bad/very bad health,2018,10.2
Health status,F,B,Bad/very bad health,2017,11.5
Health status,F,B,Bad/very bad health,2016,11.4
Health status,F,B,Bad/very bad health,2015,10.9
Health status,F,B,Bad/very bad health,2014,11.8
Health status,F,G,Good/very good health,2023,55.2
Health status,F,G,Good/very good health,2022,53.5
Health status,F,G,Good/very good health,2021,57.3
Health status,F,G,Good/very good health,2020,57.8
Health status,F,G,Good/very good health,2019,58.6
Health status,F,G,Good/very good health,2018,53.9
Health status,F,G,Good/very good health,2017,49.1
Health status,F,G,Good/very good health,2016,50.4
Health status,F,G,Good/very good health,2015,50.3
Health status,F,G,Good/very good health,2014,50
Health status,F,G,Good/very good health,2023,85.1
Health status,F,G,Good/very good health,2022,84.3
Health status,F,G,Good/very good health,2021,86
Health status,F,G,Good/very good health,2020,86.8
Health status,F,G,Good/very good health,2019,87
Health status,F,G,Good/very good health,2018,84.6
Health status,F,G,Good/very good health,2017,84
Health status,F,G,Good/very good health,2016,83.7
Health status,F,G,Good/very good health,2015,83.6
Health status,F,G,Good/very good health,2014,84.5
Health status,M,G,Good/very good health,2023,87
Health status,M,G,Good/very good health,2022,87.2
Health status,M,F,"Fair (not good, not bad) health",2020,13.9
Health status,M,F,"Fair (not good, not bad) health",2019,12.8
Health status,M,F,"Fair (not good, not bad) health",2018,13.4
Health status,M,F,"Fair (not good, not bad) health",2017,14
Health status,M,F,"Fair (not good, not bad) health",2016,14.2
Health status,M,F,"Fair (not good, not bad) health",2015,13.8
Health status,M,F,"Fair (not good, not bad) health",2014,14.1
Health status,M,G,Good/very good health,2023,65.1
Health status,M,G,Good/very good health,2022,62.9
Health status,M,G,Good/very good health,2021,64.5
Health status,M,G,Good/very good health,2020,65
Health status,M,G,Good/very good health,2019,67.5
Health status,M,G,Good/very good health,2018,62.8
Health status,M,G,Good/very good health,2017,59.2
Health status,M,G,Good/very good health,2016,59.1
Health status,M,G,Good/very good health,2015,59.2
Health status,M,G,Good/very good health,2014,58.7
Health status,M,G,Good/very good health,2023,87.7
Health status,M,G,Good/very good health,2022,85.3
Health status,M,G,Good/very good health,2021,86.2
Health status,M,G,Good/very good health,2020,87.3
Health status,M,G,Good/very good health,2019,89.2
Health status,M,G,Good/very good health,2018,87
Health status,M,G,Good/very good health,2017,86.9
Health status,M,G,Good/very good health,2016,87.1
Health status,M,G,Good/very good health,2015,88.3
Health status,M,G,Good/very good health,2014,87.5
Health status,M,B,Bad/very bad health,2023,5.9
Health status,M,B,Bad/very bad health,2022,6.6
Health status,M,B,Bad/very bad health,2021,6.1
Health status,M,B,Bad/very bad health,2020,6.1
Health status,M,B,Bad/very bad health,2019,6
Health status,M,B,Bad/very bad health,2018,8.2
Health status,M,B,Bad/very bad health,2017,9.3
Health status,M,B,Bad/very bad health,2016,9.3
Health status,M,B,Bad/very bad health,2015,9
Health status,M,B,Bad/very bad health,2014,9.8
Health status,M,G,Good/very good health,2023,80.4
Health status,M,G,Good/very good health,2022,79.2
Health status,M,G,Good/very good health,2021,80
Health status,M,G,Good/very good health,2020,80
Health status,M,G,Good/very good health,2019,81.2
Health status,M,G,Good/very good health,2018,78.4
Health status,M,G,Good/very good health,2017,76.8
Health status,M,G,Good/very good health,2016,76.6
Health status,M,G,Good/very good health,2015,77.2
Health status,M,G,Good/very good health,2014,76.1
Health status,F,G,Good/very good health,2023,90.6
Health status,F,G,Good/very good health,2022,91
Health status,F,G,Good/very good health,2021,90.9
Health status,F,G,Good/very good health,2020,91.8
Health status,F,G,Good/very good health,2019,92.6
Health status,F,G,Good/very good health,2018,90.9
Health status,F,G,Good/very good health,2017,89.9
Health status,F,G,Good/very good health,2016,89.4
Health status,F,G,Good/very good health,2015,89.9
Health status,F,G,Good/very good health,2014,89.9
Health status,F,B,Bad/very bad health,2023,7.7
Health status,F,B,Bad/very bad health,2022,8.3
Health status,F,B,Bad/very bad health,2021,6.8
Health status,F,F,"Fair (not good, not bad) health",2023,16.3
Health status,F,F,"Fair (not good, not bad) health",2022,16.6
Health status,F,F,"Fair (not good, not bad) health",2021,16.8
Health status,F,F,"Fair (not good, not bad) health",2020,15.8
Health status,F,F,"Fair (not good, not bad) health",2019,15.6
Health status,F,F,"Fair (not good, not bad) health",2018,15.6
Health status,F,F,"Fair (not good, not bad) health",2017,17.1
Health status,F,F,"Fair (not good, not bad) health",2016,17.1
Health status,F,F,"Fair (not good, not bad) health",2015,17.4
Health status,F,F,"Fair (not good, not bad) health",2014,17.3
Health status,M,G,Good/very good health,2022,74.1
Health status,M,G,Good/very good health,2021,78.6
Health status,M,G,Good/very good health,2018,57.4
Health status,M,G,Good/very good health,2017,55.4
Health status,M,G,Good/very good health,2016,54
Health status,M,G,Good/very good health,2015,49.6
Health status,M,G,Good/very good health,2014,51.2
Health status,M,B,Bad/very bad health,2021,7
Health status,M,B,Bad/very bad health,2020,8.9
Health status,M,B,Bad/very bad health,2019,10.6
Health status,M,B,Bad/very bad health,2018,10.3
Health status,M,B,Bad/very bad health,2017,10.8
Health status,M,B,Bad/very bad health,2016,11.1
Health status,M,B,Bad/very bad health,2015,13.7
Health status,M,B,Bad/very bad health,2014,13
Health status,M,G,Good/very good health,2023,61.8
Health status,M,G,Good/very good health,2022,58.7
Health status,M,G,Good/very good health,2021,64.2
Health status,M,G,Good/very good health,2020,63.1
Health status,M,G,Good/very good health,2019,58.7
Health status,F,G,Good/very good health,2020,42.1
Health status,F,G,Good/very good health,2019,38.4
Health status,F,G,Good/very good health,2018,38.5
Health status,F,G,Good/very good health,2017,38.7
Health status,F,G,Good/very good health,2016,37.4
Health status,F,G,Good/very good health,2015,32.6
Health status,F,G,Good/very good health,2014,33.3
Health status,F,F,"Fair (not good, not bad) health",2023,27.9
Health status,F,F,"Fair (not good, not bad) health",2022,28.5
Health status,F,F,"Fair (not good, not bad) health",2021,29
Health status,F,F,"Fair (not good, not bad) health",2020,30.3
Health status,F,F,"Fair (not good, not bad) health",2019,32.3
Health status,F,F,"Fair (not good, not bad) health",2018,29.2
Health status,F,F,"Fair (not good, not bad) health",2017,29.8
Health status,F,F,"Fair (not good, not bad) health",2016,28.5
Health status,F,F,"Fair (not good, not bad) health",2015,29
Health status,F,F,"Fair (not good, not bad) health",2014,28.2
Health status,F,G,Good/very good health,2023,61.7
Health status,F,G,Good/very good health,2022,60.7
Health status,F,G,Good/very good health,2021,61.8
Health status,F,G,Good/very good health,2020,58.8
Health status,F,G,Good/very good health,2019,54.8
Health status,F,G,Good/very good health,2018,57.5
Health status,F,G,Good/very good health,2017,55.3
Health status,F,G,Good/very good health,2016,56.2
Health status,F,G,Good/very good health,2015,53.3
Health status,F,G,Good/very good health,2014,53.4
Health status,M,B,Bad/very bad health,2023,8.1
Health status,M,B,Bad/very bad health,2022,9.1
Health status,M,G,Good/very good health,2020,74.4
Health status,M,G,Good/very good health,2019,70.6
Health status,M,G,Good/very good health,2018,70.6
Health status,M,G,Good/very good health,2017,71.5
Health status,M,G,Good/very good health,2016,73.6
Health status,M,G,Good/very good health,2015,71.5
Health status,M,G,Good/very good health,2014,70.9
Health status,F,B,Bad/very bad health,2023,10.4
Health status,F,B,Bad/very bad health,2022,10.8
Health status,F,B,Bad/very bad health,2021,9.2
Health status,F,B,Bad/very bad health,2020,10.8
Health status,F,B,Bad/very bad health,2019,12.9
Health status,F,B,Bad/very bad health,2018,13.3
Health status,F,B,Bad/very bad health,2017,14.9
Health status,F,B,Bad/very bad health,2016,15.3
Health status,F,B,Bad/very bad health,2015,17.7
Health status,F,B,Bad/very bad health,2014,18.4
Health status,M,G,Good/very good health,2023,69
Health status,M,G,Good/very good health,2022,65.6
Health status,M,G,Good/very good health,2021,68
Health status,M,G,Good/very good health,2020,65.6
Health status,M,G,Good/very good health,2019,62.1
Health status,M,G,Good/very good health,2018,64.1
Health status,M,G,Good/very good health,2017,63.5
Health status,M,G,Good/very good health,2016,63.2
Health status,M,G,Good/very good health,2015,59.6
Health status,M,G,Good/very good health,2014,60.8
Health status,M,F,"Fair (not good, not bad) health",2023,22.9
Health status,M,F,"Fair (not good, not bad) health",2022,25.3
Health status,M,F,"Fair (not good, not bad) health",2021,24.9
Health status,M,F,"Fair (not good, not bad) health",2020,25.6
Health status,M,F,"Fair (not good, not bad) health",2019,27.4
Health status,M,F,"Fair (not good, not bad) health",2018,25.7
Health status,M,F,"Fair (not good, not bad) health",2017,25.8
Health status,M,F,"Fair (not good, not bad) health",2016,25.7
Health status,M,F,"Fair (not good, not bad) health",2015,26.8
Health status,M,F,"Fair (not good, not bad) health",2014,26.2
Health status,M,G,Good/very good health,2023,67.2
Health status,M,G,Good/very good health,2022,64.7
Health status,M,G,Good/very good health,2021,65.9
Health status,M,G,Good/very good health,2020,63.6
Health status,M,G,Good/very good health,2019,60.4
Health status,M,G,Good/very good health,2018,64.2
Health status,M,G,Good/very good health,2017,63.6
Health status,M,G,Good/very good health,2016,62.9
Health status,M,G,Good/very good health,2015,58.8
Health status,M,G,Good/very good health,2014,61.2
Health status,F,G,Good/very good health,2023,60.9
Health status,F,G,Good/very good health,2022,60.5
Health status,F,G,Good/very good health,2021,62.1
Health status,F,G,Good/very good health,2020,58.9
Health status,F,G,Good/very good health,2019,56.4
Health status,F,G,Good/very good health,2018,60.4
Health status,F,G,Good/very good health,2017,58.1
Health status,F,G,Good/very good health,2016,58.3
Health status,F,G,Good/very good health,2015,56.1
Health status,F,G,Good/very good health,2014,56.4
Health status,F,G,Good/very good health,2023,44.4
Health status,F,G,Good/very good health,2022,43.7
Health status,F,G,Good/very good health,2021,45.3
Health status,F,G,Good/very good health,2023,77.7
Health status,F,G,Good/very good health,2022,77.5
Health status,F,G,Good/very good health,2021,77.6
Health status,F,G,Good/very good health,2020,74.3
Health status,F,G,Good/very good health,2019,69.9
Health status,F,G,Good/very good health,2018,73.3
Health status,F,G,Good/very good health,2017,70.8
Health status,F,G,Good/very good health,2016,74.4
Health status,F,G,Good/very good health,2015,71.3
Health status,F,G,Good/very good health,2014,73.1
Health status,M,F,"Fair (not good, not bad) health",2014,15.9
Health status,M,G,Good/very good health,2019,87.4
Health status,M,G,Good/very good health,2018,80.6
Health status,M,G,Good/very good health,2017,79.4
Health status,M,G,Good/very good health,2016,78.9
Health status,M,G,Good/very good health,2015,80.1
Health status,M,G,Good/very good health,2014,79.4
Health status,F,B,Bad/very bad health,2019,9
Health status,F,B,Bad/very bad health,2018,8.2
Health status,F,B,Bad/very bad health,2017,8.1
Health status,F,B,Bad/very bad health,2016,8.9
Health status,F,B,Bad/very bad health,2015,7.5
Health status,F,B,Bad/very bad health,2014,7.9
Health status,F,G,Good/very good health,2019,71
Health status,F,G,Good/very good health,2018,72.3
Health status,F,G,Good/very good health,2017,75
Health status,F,G,Good/very good health,2016,73.2
Health status,F,G,Good/very good health,2015,72.6
Health status,F,G,Good/very good health,2014,73
Health status,M,G,Good/very good health,2019,79
Health status,M,G,Good/very good health,2018,89.5
Health status,M,G,Good/very good health,2017,87.9
Health status,M,G,Good/very good health,2016,88.2
Health status,M,G,Good/very good health,2015,90.2
Health status,M,G,Good/very good health,2014,87.2
Health status,M,B,Bad/very bad health,2019,3
Health status,M,B,Bad/very bad health,2018,3.7
Health status,M,B,Bad/very bad health,2017,3.4
Health status,M,B,Bad/very bad health,2016,4
Health status,M,B,Bad/very bad health,2015,3.9
Health status,M,B,Bad/very bad health,2014,4.7
Health status,F,G,Good/very good health,2019,54.1
Health status,F,G,Good/very good health,2018,56
Health status,F,G,Good/very good health,2017,61.5
Health status,F,G,Good/very good health,2016,62.6
Health status,F,G,Good/very good health,2015,61.3
Health status,F,G,Good/very good health,2014,61.9
Health status,M,G,Good/very good health,2019,78.7
Health status,M,G,Good/very good health,2018,78.6
Health status,M,G,Good/very good health,2017,77.3
Health status,M,G,Good/very good health,2016,75.8
Health status,M,G,Good/very good health,2015,78.7
Health status,M,G,Good/very good health,2014,78.4
Health status,F,F,"Fair (not good, not bad) health",2019,21
Health status,F,F,"Fair (not good, not bad) health",2018,19.5
Health status,F,F,"Fair (not good, not bad) health",2017,16.9
Health status,F,F,"Fair (not good, not bad) health",2016,17.9
Health status,F,F,"Fair (not good, not bad) health",2015,19.9
Health status,F,F,"Fair (not good, not bad) health",2014,19.1
Health status,F,G,Good/very good health,2019,71.2
Health status,F,G,Good/very good health,2018,75
Health status,F,G,Good/very good health,2017,75.3
Health status,F,G,Good/very good health,2016,76.2
Health status,F,G,Good/very good health,2015,74.2
Health status,F,G,Good/very good health,2014,74.7
Health status,F,G,Good/very good health,2019,79.3
Health status,F,G,Good/very good health,2018,82.5
Health status,F,G,Good/very good health,2017,84.4
Health status,F,G,Good/very good health,2016,79.8
Health status,F,G,Good/very good health,2015,83.3
Health status,F,G,Good/very good health,2014,82.9
Health status,M,G,Good/very good health,2019,71.5
Health status,M,G,Good/very good health,2018,74.1
Health status,M,G,Good/very good health,2017,73.6
Health status,M,G,Good/very good health,2016,74.2
Health status,M,G,Good/very good health,2015,74.2
Health status,M,G,Good/very good health,2014,75.1
Health status,M,F,"Fair (not good, not bad) health",2019,17
Health status,M,F,"Fair (not good, not bad) health",2018,15.7
Health status,M,F,"Fair (not good, not bad) health",2017,17.2
Health status,M,F,"Fair (not good, not bad) health",2016,17.1
Health status,F,G,Good/very good health,2022,62
Health status,F,G,Good/very good health,2021,67
Health status,F,G,Good/very good health,2018,86.7
Health status,F,G,Good/very good health,2017,85.9
Health status,F,G,Good/very good health,2016,84.6
Health status,F,G,Good/very good health,2015,85.1
Health status,F,G,Good/very good health,2014,85.9
Health status,M,G,Good/very good health,2021,89.8
Health status,M,G,Good/very good health,2020,91
Health status,M,G,Good/very good health,2019,90.9
Health status,M,G,Good/very good health,2018,88.3
Health status,M,G,Good/very good health,2017,89.8
Health status,M,G,Good/very good health,2016,90.3
Health status,M,G,Good/very good health,2015,90
Health status,M,G,Good/very good health,2014,91.2
Health status,F,G,Good/very good health,2023,79.2
Health status,F,G,Good/very good health,2022,83.5
Health status,F,G,Good/very good health,2021,83
Health status,F,G,Good/very good health,2020,86
Health status,F,G,Good/very good health,2019,86.4
Health status,M,B,Bad/very bad health,2020,3.5
Health status,M,B,Bad/very bad health,2019,2.9
Health status,M,B,Bad/very bad health,2018,3.2
Health status,M,B,Bad/very bad health,2017,3
Health status,M,B,Bad/very bad health,2016,3.4
Health status,M,B,Bad/very bad health,2015,3.9
Health status,M,B,Bad/very bad health,2014,3.6
Health status,F,B,Bad/very bad health,2023,4.7
Health status,F,B,Bad/very bad health,2022,4.9
Health status,F,B,Bad/very bad health,2021,5.2
Health status,F,B,Bad/very bad health,2020,4.1
Health status,F,B,Bad/very bad health,2019,3.5
Health status,F,B,Bad/very bad health,2018,3.4
Health status,F,B,Bad/very bad health,2017,3.7
Health status,F,B,Bad/very bad health,2016,3.6
Health status,F,B,Bad/very bad health,2015,3.7
Health status,F,B,Bad/very bad health,2014,4.2
Health status,F,G,Good/very good health,2023,79.1
Health status,F,G,Good/very good health,2022,80.8
Health status,F,G,Good/very good health,2021,81.7
Health status,F,G,Good/very good health,2020,83.9
Health status,F,G,Good/very good health,2019,84.2
Health status,F,G,Good/very good health,2018,84.4
Health status,F,G,Good/very good health,2017,83.5
Health status,F,G,Good/very good health,2016,83.1
Health status,F,G,Good/very good health,2015,82
Health status,F,G,Good/very good health,2014,82.1
Health status,M,G,Good/very good health,2023,85.7
Health status,M,G,Good/very good health,2022,88.6
Health status,F,G,Good/very good health,2020,68
Health status,F,G,Good/very good health,2019,68.4
Health status,F,G,Good/very good health,2018,68.7
Health status,F,G,Good/very good health,2017,67.8
Health status,F,G,Good/very good health,2016,68.8
Health status,F,G,Good/very good health,2015,66.5
Health status,F,G,Good/very good health,2014,65.4
Health status,M,G,Good/very good health,2023,66.5
Health status,M,G,Good/very good health,2022,65.7
Health status,M,G,Good/very good health,2021,65.6
Health status,M,G,Good/very good health,2020,72
Health status,M,G,Good/very good health,2019,70.9
Health status,M,G,Good/very good health,2018,72.8
Health status,M,G,Good/very good health,2017,70
Health status,M,G,Good/very good health,2016,69.2
Health status,M,G,Good/very good health,2015,71.4
Health status,M,G,Good/very good health,2014,69.8
Health status,M,F,"Fair (not good, not bad) health",2023,15
Health status,M,F,"Fair (not good, not bad) health",2022,14.1
Health status,M,F,"Fair (not good, not bad) health",2021,13.9
Health status,M,F,"Fair (not good, not bad) health",2020,11.5
Health status,M,F,"Fair (not good, not bad) health",2019,12.9
Health status,M,F,"Fair (not good, not bad) health",2018,12.9
Health status,M,F,"Fair (not good, not bad) health",2017,14.1
Health status,M,F,"Fair (not good, not bad) health",2016,13.9
Health status,M,F,"Fair (not good, not bad) health",2015,13
Health status,M,F,"Fair (not good, not bad) health",2014,13.1
Health status,M,G,Good/very good health,2023,82.4
Health status,M,G,Good/very good health,2022,82.9
Health status,M,G,Good/very good health,2021,84.5
Health status,M,G,Good/very good health,2020,87
Health status,M,G,Good/very good health,2019,86.6
Health status,M,G,Good/very good health,2018,87.6
Health status,M,G,Good/very good health,2017,87.4
Health status,M,G,Good/very good health,2016,87.5
Health status,M,G,Good/very good health,2015,88.1
Health status,M,G,Good/very good health,2014,90.5
Health status,F,F,"Fair (not good, not bad) health",2023,16.2
Health status,F,F,"Fair (not good, not bad) health",2022,14.4
Health status,F,F,"Fair (not good, not bad) health",2021,13.1
Health status,F,F,"Fair (not good, not bad) health",2020,12
